year	month	rainfall
1932	Jan	103
1932	Feb	20
1932	Mar	258
1932	Apr	97
1932	May	262
1932	Jun	145
1932	Jul	209
1932	Aug	56
1932	Sep	120
1932	Oct	188
1932	Nov	128
1932	Dec	244
1933	Jan	222
1933	Feb	63
1933	Mar	206
1933	Apr	60
1933	May	182
1933	Jun	207
1933	Jul	10
1933	Aug	2
1933	Sep	85
1933	Oct	397
1933	Nov	264
1933	Dec	180
1934	Jan	134
1934	Feb	102
1934	Mar	295
1934	Apr	149
1934	May	57
1934	Jun	129
1934	Jul	29
1934	Aug	93
1934	Sep	92
1934	Oct	121
1934	Nov	502
1934	Dec	339
1935	Jan	69
1935	Feb	195
1935	Mar	59
1935	Apr	126
1935	May	221
1935	Jun	30
1935	Jul	19
1935	Aug	165
1935	Sep	50
1935	Oct	341
1935	Nov	243
1935	Dec	445
1936	Jan	423
1936	Feb	217
1936	Mar	245
1936	Apr	293
1936	May	154
1936	Jun	81
1936	Jul	31
1936	Aug	22
1936	Sep	149
1936	Oct	183
1936	Nov	195
1936	Dec	70
1937	Jan	270
1937	Feb	143
1937	Mar	521
1937	Apr	208
1937	May	129
1937	Jun	142
1937	Jul	6
1937	Aug	170
1937	Sep	370
1937	Oct	345
1937	Nov	162
1937	Dec	231
1938	Jan	64
1938	Feb	19
1938	Mar	11
1938	Apr	58
1938	May	194
1938	Jun	65
1938	Jul	17
1938	Aug	77
1938	Sep	212
1938	Oct	143
1938	Nov	178
1938	Dec	116
1939	Jan	228
1939	Feb	72
1939	Mar	43
1939	Apr	107
1939	May	221
1939	Jun	50
1939	Jul	16
1939	Aug	56
1939	Sep	159
1939	Oct	235
1939	Nov	137
1939	Dec	205
1940	Jan	40
1940	Feb	180
1940	Mar	103
1940	Apr	38
1940	May	180
1940	Jun	206
1940	Jul	94
1940	Aug	37
1940	Sep	94
1940	Oct	207
1940	Nov	410
1940	Dec	5
1941	Jan	331
1941	Feb	373
1941	Mar	202
1941	Apr	214
1941	May	233
1941	Jun	115
1941	Jul	37
1941	Aug	35
1941	Sep	46
1941	Oct	78
1941	Nov	155
1941	Dec	60
1942	Jan	90
1942	Feb	117
1942	Mar	144
1942	Apr	127
1942	May	110
1942	Jun	137
1942	Jul	46
1942	Aug	38
1942	Sep	215
1942	Oct	237
1942	Nov	127
1942	Dec	292
1943	Jan	164
1943	Feb	132
1943	Mar	40
1943	Apr	77
1943	May	187
1943	Jun	28
1943	Jul	2
1943	Aug	34
1943	Sep	137
1943	Oct	205
1943	Nov	142
1943	Dec	257
1944	Jan	82
1944	Feb	98
1944	Mar	66
1944	Apr	74
1944	May	82
1944	Jun	104
1944	Jul	81
1944	Aug	24
1944	Sep	66
1944	Oct	257
1944	Nov	128
1944	Dec	110
1945	Jan	114
1945	Feb	45
1945	Mar	68
1945	Apr	61
1945	May	122
1945	Jun	0
1945	Jul	10
1945	Aug	120
1945	Sep	69
1945	Oct	117
1945	Nov	121
1945	Dec	285
1946	Jan	136
1946	Feb	42
1946	Mar	342
1946	Apr	70
1946	May	231
1946	Jun	106
1946	Jul	21
1946	Aug	85
1946	Sep	25
1946	Oct	110
1946	Nov	245
1946	Dec	50
1947	Jan	81
1947	Feb	447
1947	Mar	265
1947	Apr	86
1947	May	82
1947	Jun	25
1947	Jul	26
1947	Aug	86
1947	Sep	305
1947	Oct	172
