year	month	rainfall
1932	Jan	35.4
1932	Feb	17
1932	Mar	172
1932	Apr	110
1932	May	286
1932	Jun	152
1932	Jul	151
1932	Aug	9
1932	Sep	221
1932	Oct	165
1932	Nov	110
1932	Dec	213
1933	Jan	191
1933	Feb	50
1933	Mar	225
1933	Apr	62
1933	May	91
1933	Jun	208
1933	Jul	9
1933	Aug	3
1933	Sep	98
1933	Oct	387
1933	Nov	211
1933	Dec	137
1934	Jan	116
1934	Feb	116
1934	Mar	305
1934	Apr	157
1934	May	51
1934	Jun	123
1934	Jul	32
1934	Aug	108
1934	Sep	102
1934	Oct	111
1934	Nov	492
1934	Dec	272
1935	Jan	84
1935	Feb	230
1935	Mar	42
1935	Apr	114
1935	May	195
1935	Jun	24
1935	Jul	12
1935	Aug	99
1935	Sep	50
1935	Oct	360
1935	Nov	312
1935	Dec	344
1936	Jan	480
1936	Feb	285
1936	Mar	208
1936	Apr	302
1936	May	176
1936	Jun	120
1936	Jul	69
1936	Aug	42
1936	Sep	168
1936	Oct	176
1936	Nov	133
1936	Dec	67
1937	Jan	218
1937	Feb	127
1937	Mar	543
1937	Apr	175
1937	May	95
1937	Jun	143
1937	Jul	11
1937	Aug	162
1937	Sep	392
1937	Oct	286
1937	Nov	207
1937	Dec	223
1938	Jan	71
1938	Feb	18
1938	Mar	8
1938	Apr	78
1938	May	166
1938	Jun	69
1938	Jul	98
1938	Aug	97
1938	Sep	289
1938	Oct	133
1938	Nov	208
1938	Dec	123
1939	Jan	230
1939	Feb	83
1939	Mar	42
1939	Apr	107
1939	May	232
1939	Jun	16
1939	Jul	15
1939	Aug	91
1939	Sep	208
1939	Oct	272
1939	Nov	162
1939	Dec	210
1940	Jan	40
1940	Feb	159
1940	Mar	105
1940	Apr	61
1940	May	219
1940	Jun	224
1940	Jul	101
1940	Aug	83
1940	Sep	143
1940	Oct	192
1940	Nov	522
1940	Dec	2
1941	Jan	287
1941	Feb	378
1941	Mar	225
1941	Apr	170
1941	May	226
1941	Jun	101
1941	Jul	24
1941	Aug	19
1941	Sep	55
1941	Oct	85
1941	Nov	194
1941	Dec	88
1942	Jan	130
1942	Feb	84
1942	Mar	162
1942	Apr	139
1942	May	79
1942	Jun	135
1942	Jul	41
1942	Aug	49
1942	Sep	189
1942	Oct	135
1942	Nov	108
1942	Dec	174
1943	Jan	186
1943	Feb	133
1943	Mar	42
1943	Apr	71
1943	May	169
1943	Jun	18
1943	Jul	14
1943	Aug	51
1943	Sep	134
1943	Oct	217
1943	Nov	138
1943	Dec	292
1944	Jan	67
1944	Feb	105
1944	Mar	92
1944	Apr	46
1944	May	87
1944	Jun	104
1944	Jul	103
1944	Aug	66
1944	Sep	43
1944	Oct	375
1944	Nov	127
1944	Dec	108
1945	Jan	115
1945	Feb	10
1945	Mar	102
1945	Apr	54
1945	May	80
1945	Jun	0
1945	Jul	0
1945	Aug	135
1945	Sep	42
1945	Oct	86
1945	Nov	179
1945	Dec	353
1946	Jan	214
1946	Feb	58
1946	Mar	252
1946	Apr	53
1946	May	328
1946	Jun	90
1946	Jul	84
1946	Aug	107
1946	Sep	28
1946	Oct	171
1946	Nov	274
1946	Dec	45
1947	Jan	107
1947	Feb	433
1947	Mar	272
1947	Apr	87
1947	May	58
1947	Jun	33
1947	Jul	26
1947	Aug	38
1947	Sep	168
1947	Oct	187
1947	Nov	84
1947	Dec	202
1948	Jan	323
1948	Feb	41
1948	Mar	
1948	Apr	178
1948	May	337
