year	month	rainfall
1932	Jan	84.7
1932	Feb	32
1932	Mar	297
1932	Apr	58
1932	May	196
1932	Jun	91
1932	Jul	157
1932	Aug	18
1932	Sep	99
1932	Oct	192
1932	Nov	127
1932	Dec	177
1933	Jan	215
1933	Feb	69
1933	Mar	296
1933	Apr	48
1933	May	149
1933	Jun	107
1933	Jul	12
1933	Aug	0
1933	Sep	51
1933	Oct	342
1933	Nov	161
1933	Dec	112
1934	Jan	134
1934	Feb	102
1934	Mar	238
1934	Apr	118
1934	May	138
1934	Jun	42
1934	Jul	12
1934	Aug	92
1934	Sep	192
1934	Oct	135
1934	Nov	340
1934	Dec	286
1935	Jan	59
1935	Feb	92
1935	Mar	55
1935	Apr	74
1935	May	169
1935	Jun	18
1935	Jul	1
1935	Aug	108
1935	Sep	36
1935	Oct	386
1935	Nov	247
1935	Dec	335
1936	Jan	448
1936	Feb	394
1936	Mar	250
1936	Apr	299
1936	May	184
1936	Jun	40
1936	Jul	29
1936	Aug	24
1936	Sep	186
1936	Oct	121
1936	Nov	142
1936	Dec	80
1937	Jan	284
1937	Feb	152
1937	Mar	346
1937	Apr	113
1937	May	98
1937	Jun	112
1937	Jul	11
1937	Aug	123
1937	Sep	209
1937	Oct	201
1937	Nov	200
1937	Dec	199
1938	Jan	67
1938	Feb	14
1938	Mar	12
1938	Apr	46
1938	May	144
1938	Jun	39
1938	Jul	2
1938	Aug	61
1938	Sep	196
1938	Oct	160
1938	Nov	126
1938	Dec	94
1939	Jan	254
1939	Feb	41
1939	Mar	49
1939	Apr	91
1939	May	156
1939	Jun	14
1939	Jul	10
1939	Aug	92
1939	Sep	152
1939	Oct	103
1939	Nov	147
1939	Dec	175
1940	Jan	45
1940	Feb	205
1940	Mar	99
1940	Apr	18
1940	May	172
1940	Jun	116
1940	Jul	49
1940	Aug	8
1940	Sep	47
1940	Oct	191
1940	Nov	224
1940	Dec	4
1941	Jan	255
1941	Feb	297
1941	Mar	194
1941	Apr	136
1941	May	113
1941	Jun	107
1941	Jul	24
1941	Aug	10
1941	Sep	54
1941	Oct	84
1941	Nov	148
1941	Dec	75
1942	Jan	102
1942	Feb	120
1942	Mar	122
1942	Apr	107
1942	May	125
1942	Jun	121
1942	Jul	27
1942	Aug	12
1942	Sep	172
1942	Oct	115
1942	Nov	81
1942	Dec	189
1943	Jan	184
1943	Feb	85
1943	Mar	41
1943	Apr	76
1943	May	98
1943	Jun	6
1943	Jul	0
1943	Aug	15
1943	Sep	31
1943	Oct	153
1943	Nov	132
1943	Dec	200
1944	Jan	99
1944	Feb	82
1944	Mar	48
1944	Apr	26
1944	May	47
1944	Jun	73
1944	Jul	46
1944	Aug	23
1944	Sep	49
1944	Oct	215
1944	Nov	76
1944	Dec	132
1945	Jan	87
1945	Feb	46
1945	Mar	61
1945	Apr	50
1945	May	82
1945	Jun	0
1945	Jul	0
1945	Aug	52
1945	Sep	57
1945	Oct	139
1945	Nov	114
1945	Dec	217
1946	Jan	124
1946	Feb	52
1946	Mar	424
1946	Apr	65
1946	May	205
1946	Jun	64
1946	Jul	29
1946	Aug	47
1946	Sep	39
1946	Oct	132
1946	Nov	192
1946	Dec	59
1947	Jan	118
1947	Feb	364
1947	Mar	229
1947	Apr	39
1947	May	101
