year	month	rainfall
1932	Jan	65.1
1932	Feb	13.5
1932	Mar	198
1932	Apr	48
1932	May	187
1932	Jun	59
1932	Jul	143
1932	Aug	3
1932	Sep	176
1932	Oct	159
1932	Nov	90
1932	Dec	150
1933	Jan	150
1933	Feb	53
1933	Mar	124
1933	Apr	46
1933	May	104
1933	Jun	117
1933	Jul	15
1933	Aug	1
1933	Sep	40
1933	Oct	219
1933	Nov	129
1933	Dec	158
1934	Jan	97
1934	Feb	59
1934	Mar	229
1934	Apr	109
1934	May	54
1934	Jun	47
1934	Jul	5
1934	Aug	44
1934	Sep	62
1934	Oct	501
1934	Nov	343
1934	Dec	287
1935	Jan	71
1935	Feb	76
1935	Mar	40
1935	Apr	74
1935	May	115
1935	Jun	14
1935	Jul	10
1935	Aug	59
1935	Sep	40
1935	Oct	239
1935	Nov	233
1935	Dec	234
1936	Jan	260
1936	Feb	176
1936	Mar	144
1936	Apr	211
1936	May	159
1936	Jun	38
1936	Jul	37
1936	Aug	14
1936	Sep	96
1936	Oct	146
1936	Nov	78
1936	Dec	40
1937	Jan	189
1937	Feb	105
1937	Mar	306
1937	Apr	151
1937	May	81
1937	Jun	60
1937	Jul	22
1937	Aug	84
1937	Sep	169
1937	Oct	193
1937	Nov	155
1937	Dec	188
1938	Jan	68
1938	Feb	17
1938	Mar	7
1938	Apr	37
1938	May	124
1938	Jun	38
1938	Jul	10
1938	Aug	32
1938	Sep	148
1938	Oct	104
1938	Nov	100
1938	Dec	88
1939	Jan	231
1939	Feb	21
1939	Mar	49
1939	Apr	60
1939	May	171
1939	Jun	18
1939	Jul	4
1939	Aug	87
1939	Sep	116
1939	Oct	214
1939	Nov	81
1939	Dec	145
1940	Jan	23
1940	Feb	145
1940	Mar	60
1940	Apr	13
1940	May	142
1940	Jun	137
1940	Jul	68
1940	Aug	17
1940	Sep	19
1940	Oct	179
1940	Nov	214
1940	Dec	2
1941	Jan	187
1941	Feb	226
1941	Mar	126
1941	Apr	148
1941	May	293
1941	Jun	81
1941	Jul	21
1941	Aug	7
1941	Sep	59
1941	Oct	105
1941	Nov	109
1941	Dec	72
1942	Jan	59
1942	Feb	77
1942	Mar	99
1942	Apr	82
1942	May	84
1942	Jun	107
1942	Jul	30
1942	Aug	17
1942	Sep	142
1942	Oct	96
1942	Nov	51
1942	Dec	224
1943	Jan	126
1943	Feb	75
1943	Mar	27
1943	Apr	37
1943	May	69
1943	Jun	5
1943	Jul	34
1943	Aug	23
1943	Sep	93
1943	Oct	91
1943	Nov	102
1943	Dec	178
1944	Jan	63
1944	Feb	80
1944	Mar	35
1944	Apr	33
1944	May	59
1944	Jun	49
1944	Jul	41
1944	Aug	46
1944	Sep	59
1944	Oct	151
1944	Nov	76
1944	Dec	75
1945	Jan	67
1945	Feb	38
1945	Mar	22
1945	Apr	
1945	May	
1945	Jun	0
1945	Jul	0
1945	Aug	31
1945	Sep	14
1945	Oct	89
1945	Nov	94
1945	Dec	198
1946	Jan	51
1946	Feb	7
1946	Mar	162
1946	Apr	55
1946	May	167
1946	Jun	46
1946	Jul	24
1946	Aug	19
1946	Sep	16
1946	Oct	24
1946	Nov	90
1946	Dec	41
1947	Jan	84
1947	Feb	356
1947	Mar	184
1947	Apr	53
1947	May	82
1947	Jun	15
1947	Jul	1
1947	Aug	23
1947	Sep	245
1947	Oct	162
1947	Nov	71
1947	Dec	128
1948	Jan	240
1948	Feb	23
1948	Mar	
1948	Apr	78
1948	May	102
