year,month,rainfall,date
1832,1,54.6,1832-01-01
1832,2,59.6,1832-02-01
1832,3,64.9,1832-03-01
1832,4,40.4,1832-04-01
1832,5,111.8,1832-05-01
1832,6,39.8,1832-06-01
1832,7,25.3,1832-07-01
1832,8,0.0,1832-08-01
1832,9,12.0,1832-09-01
1832,10,21.2,1832-10-01
1832,11,122.8,1832-11-01
1832,12,23.7,1832-12-01
1833,1,29.2,1833-01-01
1833,2,61.3,1833-02-01
1833,3,115.6,1833-03-01
1833,4,165.2,1833-04-01
1833,5,32.3,1833-05-01
1833,6,54.0,1833-06-01
1833,7,87.2,1833-07-01
1833,8,44.7,1833-08-01
1833,9,122.0,1833-09-01
1833,10,46.1,1833-10-01
1833,11,50.3,1833-11-01
1833,12,48.2,1833-12-01
1834,1,59.1,1834-01-01
1834,2,19.9,1834-02-01
1834,3,3.2,1834-03-01
1834,4,24.3,1834-04-01
1834,5,43.4,1834-05-01
1834,6,48.1,1834-06-01
1834,7,2.7,1834-07-01
1834,8,35.1,1834-08-01
1834,9,14.7,1834-09-01
1834,10,52.1,1834-10-01
1834,11,125.0,1834-11-01
1834,12,2.5,1834-12-01
1835,1,18.8,1835-01-01
1835,2,70.8,1835-02-01
1835,3,117.4,1835-03-01
1835,4,86.1,1835-04-01
1835,5,132.2,1835-05-01
1835,6,61.8,1835-06-01
1835,7,0.0,1835-07-01
1835,8,64.4,1835-08-01
1835,9,91.8,1835-09-01
1835,10,89.7,1835-10-01
1835,11,139.4,1835-11-01
1835,12,21.3,1835-12-01
1836,1,65.3,1836-01-01
1836,2,182.2,1836-02-01
1836,3,56.8,1836-03-01
1836,4,61.9,1836-04-01
1836,5,121.1,1836-05-01
1836,6,11.7,1836-06-01
1836,7,42.9,1836-07-01
1836,8,11.6,1836-08-01
1836,9,144.7,1836-09-01
1836,10,164.2,1836-10-01
1836,11,72.7,1836-11-01
1836,12,170.4,1836-12-01
1837,1,108.3,1837-01-01
1837,2,85.6,1837-02-01
1837,3,83.6,1837-03-01
1837,4,141.4,1837-04-01
1837,5,85.6,1837-05-01
1837,6,12.6,1837-06-01
1837,7,65.2,1837-07-01
1837,8,24.7,1837-08-01
1837,9,30.7,1837-09-01
1837,10,37.6,1837-10-01
1837,11,173.8,1837-11-01
1837,12,84.4,1837-12-01
1838,1,291.1,1838-01-01
1838,2,189.8,1838-02-01
1838,3,116.5,1838-03-01
1838,4,146.4,1838-04-01
1838,5,104.1,1838-05-01
1838,6,27.9,1838-06-01
1838,7,44.4,1838-07-01
1838,8,16.6,1838-08-01
1838,9,97.4,1838-09-01
1838,10,30.5,1838-10-01
1838,11,245.3,1838-11-01
1838,12,39.7,1838-12-01
1839,1,35.3,1839-01-01
1839,2,44.3,1839-02-01
1839,3,163.6,1839-03-01
1839,4,57.8,1839-04-01
1839,5,52.7,1839-05-01
1839,6,11.1,1839-06-01
1839,7,8.2,1839-07-01
1839,8,53.4,1839-08-01
1839,9,103.6,1839-09-01
1839,10,123.5,1839-10-01
1839,11,202.2,1839-11-01
1839,12,86.6,1839-12-01
1840,1,36.1,1840-01-01
1840,2,85.6,1840-02-01
1840,3,7.2,1840-03-01
1840,4,71.6,1840-04-01
1840,5,153.7,1840-05-01
1840,6,19.5,1840-06-01
1840,7,13.0,1840-07-01
1840,8,76.6,1840-08-01
1840,9,165.8,1840-09-01
1840,10,60.7,1840-10-01
1840,11,155.8,1840-11-01
1840,12,132.2,1840-12-01
