year,month,pioggia,data
1833,1,96.1,1833-01-01
1833,2,102.3,1833-02-01
1833,3,183.9,1833-03-01
1833,4,173.0,1833-04-01
1833,5,55.3,1833-05-01
1833,6,56.6,1833-06-01
1833,7,215.8,1833-07-01
1833,8,23.7,1833-08-01
1833,9,224.7,1833-09-01
1833,10,16.2,1833-10-01
1833,11,250.2,1833-11-01
1833,12,6.1,1833-12-01
1834,1,155.0,1834-01-01
1834,2,29.5,1834-02-01
1834,3,1.0,1834-03-01
1834,4,115.6,1834-04-01
1834,5,84.7,1834-05-01
1834,6,102.0,1834-06-01
1834,7,44.0,1834-07-01
1834,8,281.9,1834-08-01
1834,9,24.0,1834-09-01
1834,10,152.0,1834-10-01
1834,11,178.34,1834-11-01
1834,12,1.1,1834-12-01
1835,1,170.2,1835-01-01
1835,2,78.0,1835-02-01
1835,3,21.3,1835-03-01
1835,4,114.7,1835-04-01
1835,5,209.0,1835-05-01
1835,6,41.7,1835-06-01
1835,7,2.0,1835-07-01
1835,8,343.7,1835-08-01
1835,9,163.1,1835-09-01
1835,10,145.4,1835-10-01
1835,11,75.7,1835-11-01
1835,12,2.0,1835-12-01
1836,1,104.0,1836-01-01
1836,2,300.0,1836-02-01
1836,3,125.0,1836-03-01
1836,4,86.2,1836-04-01
1836,5,77.0,1836-05-01
1836,6,4.2,1836-06-01
1836,7,17.2,1836-07-01
1836,8,12.3,1836-08-01
1836,9,155.9,1836-09-01
1836,10,87.7,1836-10-01
1836,11,134.8,1836-11-01
1836,12,89.6,1836-12-01
1837,1,126.0,1837-01-01
1837,2,63.1,1837-02-01
1837,3,197.3,1837-03-01
1837,4,143.1,1837-04-01
1837,5,124.0,1837-05-01
1837,6,18.6,1837-06-01
1837,7,57.4,1837-07-01
1837,8,34.2,1837-08-01
1837,9,73.9,1837-09-01
1837,10,122.2,1837-10-01
1837,11,49.1,1837-11-01
1837,12,181.4,1837-12-01
1838,1,83.5,1838-01-01
1838,2,244.0,1838-02-01
1838,3,155.0,1838-03-01
1838,4,102.3,1838-04-01
1838,5,72.4,1838-05-01
1838,6,134.3,1838-06-01
1838,7,49.4,1838-07-01
1838,8,33.1,1838-08-01
1838,9,320.5,1838-09-01
1838,10,34.6,1838-10-01
1838,11,176.2,1838-11-01
1838,12,86.9,1838-12-01
1839,1,12.0,1839-01-01
1839,2,106.5,1839-02-01
1839,3,91.2,1839-03-01
1839,4,29.5,1839-04-01
1839,5,111.3,1839-05-01
1839,6,4.0,1839-06-01
1839,7,0.0,1839-07-01
1839,8,63.5,1839-08-01
1839,9,242.3,1839-09-01
1839,10,173.5,1839-10-01
1839,11,545.0,1839-11-01
1839,12,203.5,1839-12-01
1840,1,42.4,1840-01-01
1840,2,70.7,1840-02-01
1840,3,16.2,1840-03-01
