year,month,rainfall,date
1867,1,161.0,1867-01-01
1867,2,52.7,1867-02-01
1867,3,86.2,1867-03-01
1867,4,192.5,1867-04-01
1867,5,34.2,1867-05-01
1867,6,12.2,1867-06-01
1867,7,8.9,1867-07-01
1867,8,100.5,1867-08-01
1867,9,76.3,1867-09-01
1867,10,92.2,1867-10-01
1867,11,74.3,1867-11-01
1867,12,57.4,1867-12-01
1868,1,78.5,1868-01-01
1868,2,1.5,1868-02-01
1868,3,25.6,1868-03-01
1868,4,40.0,1868-04-01
1868,5,31.5,1868-05-01
1868,6,51.7,1868-06-01
1868,7,138.0,1868-07-01
1868,8,80.4,1868-08-01
1868,9,289.0,1868-09-01
1868,10,104.3,1868-10-01
1868,11,139.9,1868-11-01
1868,12,118.6,1868-12-01
1869,1,59.4,1869-01-01
1869,2,14.1,1869-02-01
1869,3,98.2,1869-03-01
1869,4,63.0,1869-04-01
1869,5,31.0,1869-05-01
1869,6,38.8,1869-06-01
1869,7,18.1,1869-07-01
1869,8,21.8,1869-08-01
1869,9,57.6,1869-09-01
1869,10,85.1,1869-10-01
1869,11,145.9,1869-11-01
1869,12,259.1,1869-12-01
1870,1,7.9,1870-01-01
1870,2,52.2,1870-02-01
1870,3,30.5,1870-03-01
1870,4,8.4,1870-04-01
1870,5,14.1,1870-05-01
1870,6,76.8,1870-06-01
1870,7,5.5,1870-07-01
1870,8,136.4,1870-08-01
1870,9,2.3,1870-09-01
1870,10,141.3,1870-10-01
1870,11,213.1,1870-11-01
1870,12,177.0,1870-12-01
1871,1,107.1,1871-01-01
1871,2,32.2,1871-02-01
1871,3,35.1,1871-03-01
1871,4,41.0,1871-04-01
1871,5,56.2,1871-05-01
1871,6,74.6,1871-06-01
1871,7,0.0,1871-07-01
1871,8,19.3,1871-08-01
1871,9,60.3,1871-09-01
1871,10,10.1,1871-10-01
1871,11,156.0,1871-11-01
1871,12,55.0,1871-12-01
1872,1,124.7,1872-01-01
1872,2,83.2,1872-02-01
1872,3,67.4,1872-03-01
1872,4,75.3,1872-04-01
1872,5,53.1,1872-05-01
1872,6,52.8,1872-06-01
1872,7,55.1,1872-07-01
1872,8,44.1,1872-08-01
1872,9,94.6,1872-09-01
1872,10,520.8,1872-10-01
1872,11,145.5,1872-11-01
1872,12,193.9,1872-12-01
1873,1,101.3,1873-01-01
1873,2,127.5,1873-02-01
1873,3,78.5,1873-03-01
