year,month,rainfall,date
1895,1,184.3,1895-01-01
1895,2,95.9,1895-02-01
1895,3,56.9,1895-03-01
1895,4,122.9,1895-04-01
1895,5,76.9,1895-05-01
1895,6,51.6,1895-06-01
1895,7,5.5,1895-07-01
1895,8,0.4,1895-08-01
1895,9,5.9,1895-09-01
1895,10,410.1,1895-10-01
1895,11,73.6,1895-11-01
1895,12,228.7,1895-12-01
1896,1,9.9,1896-01-01
1896,2,10.6,1896-02-01
1896,3,31.1,1896-03-01
1896,4,19.2,1896-04-01
1896,5,49.4,1896-05-01
1896,6,103.0,1896-06-01
1896,7,186.6,1896-07-01
1896,8,258.2,1896-08-01
1896,9,130.0,1896-09-01
1896,10,259.3,1896-10-01
1896,11,221.4,1896-11-01
1896,12,244.7,1896-12-01
1897,1,129.9,1897-01-01
1897,2,30.7,1897-02-01
1897,3,137.6,1897-03-01
1897,4,76.0,1897-04-01
1897,5,152.4,1897-05-01
1897,6,42.0,1897-06-01
1897,7,48.0,1897-07-01
1897,8,29.6,1897-08-01
1897,9,98.0,1897-09-01
1897,10,78.1,1897-10-01
1897,11,44.0,1897-11-01
1897,12,131.8,1897-12-01
1898,1,25.2,1898-01-01
1898,2,70.0,1898-02-01
1898,3,165.1,1898-03-01
1898,4,217.8,1898-04-01
1898,5,90.8,1898-05-01
1898,6,67.0,1898-06-01
1898,7,89.3,1898-07-01
1898,8,14.7,1898-08-01
1898,9,78.3,1898-09-01
1898,11,472.5,1898-11-01
1898,12,129.5,1898-12-01
1899,1,100.6,1899-01-01
1899,2,47.4,1899-02-01
1899,3,138.0,1899-03-01
1899,4,112.3,1899-04-01
1899,5,62.0,1899-05-01
1899,6,108.6,1899-06-01
1899,7,46.4,1899-07-01
1899,8,33.5,1899-08-01
1899,9,74.3,1899-09-01
1899,10,156.1,1899-10-01
1899,11,52.3,1899-11-01
1899,12,65.4,1899-12-01
1900,1,176.6,1900-01-01
1900,2,131.1,1900-02-01
1900,3,230.1,1900-03-01
1900,4,75.2,1900-04-01
1900,5,132.5,1900-05-01
1900,6,58.0,1900-06-01
1900,7,35.8,1900-07-01
1900,8,39.7,1900-08-01
1900,9,196.0,1900-09-01
1900,10,197.2,1900-10-01
1900,11,489.2,1900-11-01
1900,12,68.0,1900-12-01
1901,1,45.6,1901-01-01
1901,2,118.6,1901-02-01
1901,3,602.3,1901-03-01
1901,4,69.2,1901-04-01
1901,5,143.6,1901-05-01
1901,6,68.6,1901-06-01
1902,1,30.0,1902-01-01
1902,2,128.8,1902-02-01
1902,3,217.5,1902-03-01
1902,4,72.4,1902-04-01
1902,5,56.5,1902-05-01
1902,6,9.1,1902-06-01
