year,month,rainfall,date
1875,1,27.8,1875-01-01
1875,2,97.6,1875-02-01
1875,3,40.0,1875-03-01
1875,4,75.7,1875-04-01
1875,5,64.7,1875-05-01
1875,6,122.2,1875-06-01
1875,7,119.6,1875-07-01
1875,8,101.8,1875-08-01
1875,9,4.2,1875-09-01
1875,10,247.7,1875-10-01
1875,11,21.9,1875-11-01
1875,12,89.4,1875-12-01
1876,1,108.1,1876-01-01
1876,2,13.5,1876-02-01
1876,3,295.3,1876-03-01
1876,4,187.6,1876-04-01
1876,5,60.7,1876-05-01
1876,6,103.9,1876-06-01
1876,7,18.1,1876-07-01
1876,8,173.6,1876-08-01
1876,9,19.1,1876-09-01
1876,10,192.2,1876-10-01
1876,11,80.2,1876-11-01
1876,12,205.9,1876-12-01
1877,1,80.5,1877-01-01
1877,2,6.9,1877-02-01
1877,3,164.0,1877-03-01
1877,4,101.9,1877-04-01
1877,5,69.3,1877-05-01
1877,6,8.2,1877-06-01
1877,7,35.0,1877-07-01
1877,8,0.0,1877-08-01
1877,9,14.6,1877-09-01
1877,10,56.8,1877-10-01
1877,11,138.4,1877-11-01
1877,12,47.2,1877-12-01
1878,1,19.8,1878-01-01
1878,2,2.8,1878-02-01
1878,3,84.9,1878-03-01
1878,4,115.1,1878-04-01
1878,5,62.4,1878-05-01
1878,6,41.4,1878-06-01
1878,7,18.5,1878-07-01
1878,8,201.6,1878-08-01
1878,9,60.9,1878-09-01
1878,10,238.8,1878-10-01
1878,11,224.5,1878-11-01
1878,12,28.9,1878-12-01
1879,1,77.6,1879-01-01
1879,2,135.2,1879-02-01
1879,3,192.3,1879-03-01
1879,4,265.9,1879-04-01
1879,5,284.8,1879-05-01
1879,6,5.6,1879-06-01
1879,7,35.9,1879-07-01
1879,8,14.8,1879-08-01
1879,9,152.9,1879-09-01
1879,10,15.2,1879-10-01
1879,11,66.7,1879-11-01
1879,12,2.1,1879-12-01
1880,1,28.5,1880-01-01
1880,2,95.0,1880-02-01
1880,3,20.0,1880-03-01
1880,4,161.7,1880-04-01
1880,5,75.0,1880-05-01
1880,6,194.2,1880-06-01
1880,7,7.1,1880-07-01
1880,8,76.2,1880-08-01
1880,9,40.8,1880-09-01
1880,10,14.9,1880-10-01
1880,11,81.4,1880-11-01
1880,12,44.5,1880-12-01
1881,1,121.7,1881-01-01
1881,2,32.1,1881-02-01
1881,3,70.1,1881-03-01
1881,4,81.8,1881-04-01
1881,5,127.4,1881-05-01
1881,6,68.5,1881-06-01
1881,7,1.8,1881-07-01
1881,8,26.8,1881-08-01
1881,9,158.0,1881-09-01
1881,10,90.3,1881-10-01
1881,11,169.3,1881-11-01
1881,12,40.6,1881-12-01
1882,1,50.2,1882-01-01
1882,2,17.9,1882-02-01
1882,3,62.6,1882-03-01
1882,4,39.5,1882-04-01
1882,5,48.3,1882-05-01
1882,6,27.4,1882-06-01
1882,7,61.0,1882-07-01
1882,8,23.9,1882-08-01
1882,9,161.3,1882-09-01
1882,10,382.2,1882-10-01
1882,11,20.7,1882-11-01
1882,12,156.1,1882-12-01
1883,1,168.2,1883-01-01
1883,2,79.6,1883-02-01
1883,3,79.4,1883-03-01
1883,4,188.8,1883-04-01
1883,5,114.4,1883-05-01
1883,6,81.3,1883-06-01
1883,7,72.1,1883-07-01
1883,8,7.2,1883-08-01
1883,9,33.4,1883-09-01
1883,10,49.2,1883-10-01
1883,11,80.1,1883-11-01
1883,12,44.2,1883-12-01
1884,1,8.9,1884-01-01
1884,2,9.6,1884-02-01
1884,3,49.4,1884-03-01
1884,4,190.7,1884-04-01
1884,5,123.7,1884-05-01
1884,6,158.1,1884-06-01
1884,7,40.8,1884-07-01
1884,8,15.9,1884-08-01
1884,9,180.6,1884-09-01
1884,10,44.7,1884-10-01
1884,11,9.5,1884-11-01
1884,12,46.9,1884-12-01
1885,1,97.6,1885-01-01
1885,2,197.4,1885-02-01
1885,3,62.1,1885-03-01
1885,4,178.3,1885-04-01
1885,5,58.0,1885-05-01
1886,1,144.2,1886-01-01
1886,2,6.8,1886-02-01
1886,3,26.8,1886-03-01
1886,4,79.2,1886-04-01
1886,5,64.1,1886-05-01
1886,6,59.8,1886-06-01
1886,7,22.1,1886-07-01
1886,8,67.3,1886-08-01
1886,9,32.2,1886-09-01
1886,10,160.8,1886-10-01
1886,11,274.7,1886-11-01
1886,12,177.3,1886-12-01
1887,1,27.6,1887-01-01
1887,2,10.3,1887-02-01
1887,3,16.9,1887-03-01
1887,4,171.7,1887-04-01
1887,5,64.9,1887-05-01
1887,6,161.6,1887-06-01
1887,7,10.3,1887-07-01
1887,8,0.2,1887-08-01
1887,9,15.2,1887-09-01
1887,10,123.1,1887-10-01
1887,11,217.4,1887-11-01
1887,12,57.5,1887-12-01
1888,1,11.5,1888-01-01
1888,2,204.1,1888-02-01
1888,3,99.6,1888-03-01
1888,4,90.4,1888-04-01
1888,5,88.2,1888-05-01
1888,6,47.7,1888-06-01
1888,7,35.8,1888-07-01
1888,8,29.5,1888-08-01
1888,9,80.6,1888-09-01
1888,10,23.7,1888-10-01
1888,11,185.9,1888-11-01
1888,12,231.6,1888-12-01
1889,1,29.6,1889-01-01
1889,2,5.0,1889-02-01
1889,3,100.8,1889-03-01
1889,4,180.6,1889-04-01
1889,5,68.4,1889-05-01
1889,6,117.1,1889-06-01
1889,7,44.7,1889-07-01
1889,8,2.7,1889-08-01
1889,9,66.9,1889-09-01
1889,10,263.8,1889-10-01
1889,11,23.3,1889-11-01
1889,12,23.8,1889-12-01
1890,1,100.77,1890-01-01
1890,2,29.3,1890-02-01
1890,3,161.0,1890-03-01
1890,4,176.6,1890-04-01
1890,5,133.2,1890-05-01
1890,6,8.0,1890-06-01
1890,7,17.1,1890-07-01
1890,8,64.8,1890-08-01
1890,9,211.3,1890-09-01
1890,10,9.8,1890-10-01
1890,11,26.0,1890-11-01
1891,1,5.7,1891-01-01
1891,2,42.6,1891-02-01
1891,3,212.0,1891-03-01
1891,4,76.1,1891-04-01
1891,5,169.3,1891-05-01
1891,6,9.2,1891-06-01
1891,7,36.5,1891-07-01
1891,8,13.5,1891-08-01
1891,9,112.0,1891-09-01
1891,10,280.1,1891-10-01
1891,11,127.7,1891-11-01
1891,12,44.7,1891-12-01
1892,1,63.9,1892-01-01
1892,2,218.0,1892-02-01
1892,3,135.3,1892-03-01
1892,4,21.0,1892-04-01
1892,5,100.9,1892-05-01
1892,6,33.5,1892-06-01
1892,7,53.4,1892-07-01
1892,8,34.6,1892-08-01
1892,9,11.7,1892-09-01
1892,10,195.6,1892-10-01
1892,11,100.0,1892-11-01
1892,12,0.0,1892-12-01
1893,1,2.3,1893-01-01
1893,2,168.7,1893-02-01
1893,3,62.8,1893-03-01
1893,4,39.8,1893-04-01
1893,5,133.5,1893-05-01
1893,6,45.9,1893-06-01
1893,7,149.1,1893-07-01
1893,8,27.4,1893-08-01
1893,9,75.9,1893-09-01
1893,10,64.6,1893-10-01
1893,11,51.8,1893-11-01
1893,12,117.7,1893-12-01
1894,1,104.2,1894-01-01
1894,2,1.3,1894-02-01
1894,3,14.4,1894-03-01
1894,4,66.8,1894-04-01
1894,5,177.1,1894-05-01
1894,6,16.2,1894-06-01
1894,7,3.9,1894-07-01
1894,8,5.5,1894-08-01
1894,9,12.9,1894-09-01
1894,10,152.5,1894-10-01
1894,11,99.3,1894-11-01
1894,12,0.3,1894-12-01
1895,1,268.9,1895-01-01
1895,2,46.9,1895-02-01
1895,3,82.9,1895-03-01
1895,4,109.2,1895-04-01
1895,5,114.4,1895-05-01
1895,6,73.0,1895-06-01
1895,7,15.3,1895-07-01
