year,month,rainfall,date
1877,1,90.0,1877-01-01
1877,2,72.5,1877-02-01
1877,3,289.0,1877-03-01
1877,4,184.0,1877-04-01
1877,5,140.2,1877-05-01
1877,6,18.0,1877-06-01
1877,7,31.0,1877-07-01
1877,8,2.5,1877-08-01
1877,9,37.3,1877-09-01
1877,10,37.0,1877-10-01
1877,11,268.0,1877-11-01
1877,12,91.0,1877-12-01
1878,1,79.0,1878-01-01
1878,2,46.5,1878-02-01
1878,3,79.5,1878-03-01
1878,4,103.7,1878-04-01
1878,5,55.5,1878-05-01
1878,6,80.4,1878-06-01
1878,7,68.0,1878-07-01
1878,8,58.0,1878-08-01
1878,9,180.0,1878-09-01
1878,10,340.5,1878-10-01
1878,11,221.5,1878-11-01
1878,12,167.5,1878-12-01
1879,1,79.0,1879-01-01
1879,2,253.0,1879-02-01
1879,3,118.0,1879-03-01
1879,4,357.0,1879-04-01
1879,5,199.0,1879-05-01
1879,6,5.0,1879-06-01
1879,7,0.0,1879-07-01
1879,8,0.0,1879-08-01
1879,9,134.0,1879-09-01
1879,10,40.0,1879-10-01
1879,11,249.0,1879-11-01
1879,12,190.0,1879-12-01
1881,1,236.0,1881-01-01
1881,2,37.0,1881-02-01
1881,3,204.0,1881-03-01
1881,4,99.0,1881-04-01
1881,5,47.0,1881-05-01
1881,6,70.0,1881-06-01
1881,7,15.8,1881-07-01
1881,8,32.0,1881-08-01
1881,9,200.9,1881-09-01
1881,10,124.0,1881-10-01
1881,11,388.0,1881-11-01
1881,12,141.0,1881-12-01
1882,1,78.0,1882-01-01
1882,2,100.0,1882-02-01
1882,3,80.4,1882-03-01
1882,4,167.0,1882-04-01
1882,5,190.0,1882-05-01
1882,6,55.0,1882-06-01
1882,7,50.4,1882-07-01
1882,8,74.5,1882-08-01
1882,9,250.8,1882-09-01
1882,10,423.2,1882-10-01
1882,11,150.8,1882-11-01
1882,12,228.2,1882-12-01
1883,1,104.7,1883-01-01
1883,2,175.3,1883-02-01
1883,3,215.4,1883-03-01
1883,4,60.0,1883-04-01
1883,5,78.0,1883-05-01
1883,6,118.7,1883-06-01
1883,7,7.3,1883-07-01
1883,8,9.4,1883-08-01
1883,9,60.5,1883-09-01
1883,10,165.4,1883-10-01
1883,11,307.8,1883-11-01
1883,12,129.7,1883-12-01
1884,1,70.3,1884-01-01
1884,2,135.5,1884-02-01
1884,3,61.8,1884-03-01
1884,4,177.3,1884-04-01
1884,5,128.6,1884-05-01
1884,6,182.0,1884-06-01
1884,7,0.0,1884-07-01
1884,8,43.7,1884-08-01
1884,9,224.8,1884-09-01
1884,10,160.0,1884-10-01
1884,11,270.0,1884-11-01
1884,12,178.0,1884-12-01
1885,1,158.4,1885-01-01
1885,2,136.9,1885-02-01
1885,3,57.6,1885-03-01
1885,4,276.5,1885-04-01
1885,5,198.0,1885-05-01
1885,6,24.2,1885-06-01
1885,7,0.0,1885-07-01
1885,8,51.5,1885-08-01
1885,9,168.6,1885-09-01
1885,10,249.9,1885-10-01
1885,11,230.3,1885-11-01
1885,12,73.5,1885-12-01
1886,1,387.5,1886-01-01
1886,2,0.0,1886-02-01
1886,3,86.6,1886-03-01
1886,4,76.1,1886-04-01
1886,5,145.3,1886-05-01
1886,6,59.1,1886-06-01
1886,7,0.0,1886-07-01
1886,8,30.1,1886-08-01
1886,9,64.6,1886-09-01
1886,10,312.7,1886-10-01
1886,11,145.1,1886-11-01
1886,12,174.3,1886-12-01
1887,1,77.05,1887-01-01
1887,2,20.5,1887-02-01
1887,3,84.75,1887-03-01
1887,4,103.35,1887-04-01
1887,5,120.75,1887-05-01
1887,6,128.8,1887-06-01
1887,7,0.0,1887-07-01
1887,8,36.75,1887-08-01
1887,9,56.85,1887-09-01
1887,10,196.4,1887-10-01
