year	month	rainfall
1932	Jan	81
1932	Feb	18
1932	Mar	211
1932	Apr	155
1932	May	263
1932	Jun	137
1932	Jul	240
1932	Aug	0
1932	Sep	419
1932	Oct	114
1932	Nov	92
1932	Dec	294
1933	Jan	
1933	Feb	57
1933	Mar	285
1933	Apr	49
1933	May	
1933	Jun	197
1933	Jul	5
1933	Aug	0
1933	Sep	71
1933	Oct	
1933	Nov	
1933	Dec	110
1934	Jan	103
1934	Feb	120
1934	Mar	432
1934	Apr	138
1934	May	64
1934	Jun	146
1934	Jul	87
1934	Aug	83
1934	Sep	69
1934	Oct	132
1934	Nov	508
1934	Dec	251
1935	Jan	70
1935	Feb	265
1935	Mar	48
1935	Apr	153
1935	May	188
1935	Jun	20
1935	Jul	30
1935	Aug	175
1935	Sep	105
1935	Oct	351
1935	Nov	343
1935	Dec	311
1936	Jan	500
1936	Feb	241
1936	Mar	226
1936	Apr	302
1936	May	158
1936	Jun	155
1936	Jul	78
1936	Aug	40
1936	Sep	103
1936	Oct	150
1936	Nov	151
1936	Dec	47
1937	Jan	178
1937	Feb	119
1937	Mar	472
1937	Apr	114
1937	May	56
1937	Jun	99
1937	Jul	17
1937	Aug	185
1937	Sep	339
1937	Oct	241
1937	Nov	171
1937	Dec	145
1938	Jan	47
1938	Feb	3
1938	Mar	16
1938	Apr	41
1938	May	158
1938	Jun	53
1938	Jul	27
1938	Aug	120
1938	Sep	354
1938	Oct	119
1938	Nov	227
1938	Dec	122
1939	Jan	223
1939	Feb	118
1939	Mar	52
1939	Apr	97
1939	May	264
1939	Jun	68
1939	Jul	57
1939	Aug	91
1939	Sep	248
1939	Oct	209
1939	Nov	165
1939	Dec	141
1940	Jan	26
1940	Feb	116
1940	Mar	151
1940	Apr	65
1940	May	217
1940	Jun	220
1940	Jul	86
1940	Aug	149
1940	Sep	83
1940	Oct	196
1940	Nov	518
1940	Dec	7
1941	Jan	237
1941	Feb	285
1941	Mar	219
1941	Apr	166
1941	May	180
1941	Jun	117
1941	Jul	43
1941	Aug	61
1941	Sep	30
1941	Oct	81
1941	Nov	192
1941	Dec	92
1942	Jan	84
1942	Feb	34
1942	Mar	107
1942	Apr	127
1942	May	79
1942	Jun	121
1942	Jul	33
1942	Aug	44
1942	Sep	265
1942	Oct	216
1942	Nov	159
1942	Dec	177
1943	Jan	131
1943	Feb	116
1943	Mar	41
1943	Apr	54
1943	May	157
1943	Jun	42
1943	Jul	11
1943	Aug	64
1943	Sep	134
1943	Oct	138
1943	Nov	132
1943	Dec	322
1944	Jan	36
1944	Feb	84
1944	Mar	56
1944	Apr	59
1944	May	48
1944	Jun	91
1944	Jul	91
1944	Aug	25
1944	Sep	50
1944	Oct	342
1944	Nov	157
1944	Dec	125
1945	Jan	
1945	Feb	
1945	Mar	
1945	Apr	
1945	May	
1945	Jun	
1945	Jul	
1945	Aug	
1945	Sep	
1945	Oct	
1945	Nov	
