time_regular,rainfall_regular,rainfall_no_ss
1867-01-01,161.0,78.80529803398329
1867-02-01,52.7,-16.43245032252065
1867-03-01,86.2,13.419536330121645
1867-04-01,192.5,120.28841062740774
1867-05-01,34.2,-32.54900670306671
1867-06-01,12.2,-40.81258278070203
1867-07-01,8.9,-17.54900665067087
1867-08-01,100.5,53.78178793667069
1867-09-01,76.3,-12.725827787693177
1867-10-01,92.2,-46.34768199691213
1867-11-01,74.3,-55.46258277477612
1867-12-01,57.4,-45.200000071843455
1868-01-01,78.5,-3.6947019660167086
1868-02-01,1.5,-67.63245032252065
1868-03-01,25.6,-47.18046366987836
1868-04-01,40.0,-32.21158937259226
1868-05-01,31.5,-35.24900670306671
1868-06-01,51.7,-1.312582780702023
1868-07-01,138.0,111.55099334932913
1868-08-01,80.4,33.681787936670695
1868-09-01,289.0,199.97417221230683
1868-10-01,104.3,-34.247681996912135
1868-11-01,139.9,10.137417225223885
1868-12-01,118.6,15.99999992815654
1869-01-01,59.4,-22.79470196601671
1869-02-01,14.1,-55.03245032252065
1869-03-01,98.2,25.419536330121645
1869-04-01,63.0,-9.211589372592258
1869-05-01,31.0,-35.74900670306671
1869-06-01,38.8,-14.212582780702029
1869-07-01,18.1,-8.34900665067087
1869-08-01,21.8,-24.91821206332931
1869-09-01,57.6,-31.425827787693173
1869-10-01,85.1,-53.44768199691214
1869-11-01,145.9,16.137417225223885
1869-12-01,259.1,156.49999992815657
1870-01-01,7.9,-74.2947019660167
1870-02-01,52.2,-16.93245032252065
1870-03-01,30.5,-42.28046366987836
1870-04-01,8.4,-63.81158937259226
1870-05-01,14.1,-52.64900670306671
1870-06-01,76.8,23.78741721929797
1870-07-01,5.5,-20.94900665067087
1870-08-01,136.4,89.6817879366707
1870-09-01,2.3,-86.72582778769318
1870-10-01,141.3,2.752318003087879
1870-11-01,213.1,83.33741722522387
1870-12-01,177.0,74.39999992815655
1871-01-01,107.1,24.905298033983286
1871-02-01,32.2,-36.93245032252065
1871-03-01,35.1,-37.68046366987836
1871-04-01,41.0,-31.211589372592258
1871-05-01,56.2,-10.54900670306671
1871-06-01,74.6,21.58741721929797
1871-07-01,0.0,-26.44900665067087
1871-08-01,19.3,-27.41821206332931
1871-09-01,60.3,-28.725827787693177
1871-10-01,10.1,-128.44768199691214
1871-11-01,156.0,26.23741722522388
1871-12-01,55.0,-47.60000007184345
1872-01-01,124.7,42.505298033983294
1872-02-01,83.2,14.067549677479349
1872-03-01,67.4,-5.380463669878353
1872-04-01,75.3,3.0884106274077396
1872-05-01,53.1,-13.64900670306671
1872-06-01,52.8,-0.21258278070202863
1872-07-01,55.1,28.65099334932913
1872-08-01,44.1,-2.6182120633293096
1872-09-01,94.6,5.57417221230682
1872-10-01,520.8,382.2523180030878
1872-11-01,145.5,15.73741722522388
1872-12-01,193.9,91.29999992815655
1873-01-01,101.3,19.10529803398329
1873-02-01,127.5,58.367549677479346
1873-03-01,78.5,5.719536330121642
1873-04-01,92.1,19.888410627407737
1873-05-01,42.6,-24.14900670306671
1873-06-01,47.2,-5.812582780702023
1873-07-01,11.9,-14.54900665067087
1873-08-01,18.1,-28.61821206332931
1873-09-01,97.8,8.774172212306823
1873-10-01,186.3,47.75231800308788
1873-11-01,267.0,137.23741722522388
1873-12-01,23.7,-78.90000007184345
1874-01-01,29.1,-53.09470196601671
1874-02-01,36.2,-32.93245032252065
1874-03-01,29.8,-42.98046366987836
1874-04-01,66.7,-5.511589372592255
1874-05-01,71.0,4.250993296933288
1874-06-01,37.1,-15.912582780702024
