time_regular,rainfall_regular,rainfall_no_ss
1895-01-01,184.3,59.03151260504198
1895-02-01,95.9,-15.539830508474608
1895-03-01,56.9,-58.76101694915251
1895-04-01,122.9,30.064655172413822
1895-05-01,76.9,-10.517826086956532
1895-06-01,51.6,-12.929310344827606
1895-07-01,5.5,-31.491379310344826
1895-08-01,0.4,-51.82347826086957
1895-09-01,5.9,-103.65789473684214
1895-10-01,410.1,242.1285087719298
1895-11-01,73.6,-96.58405172413782
1895-12-01,228.7,77.55341880341882
1896-01-01,9.9,-115.36848739495802
1896-02-01,10.6,-100.83983050847462
1896-03-01,31.1,-84.5610169491525
1896-04-01,19.2,-73.63534482758618
1896-05-01,49.4,-38.01782608695654
1896-06-01,103.0,38.47068965517239
1896-07-01,186.6,149.60862068965517
1896-08-01,258.2,205.97652173913042
1896-09-01,130.0,20.442105263157856
1896-10-01,259.3,91.32850877192979
1896-11-01,221.4,51.21594827586219
1896-12-01,244.7,93.55341880341882
1897-01-01,129.9,4.631512605041976
1897-02-01,30.7,-80.73983050847461
1897-03-01,137.6,21.938983050847483
1897-04-01,76.0,-16.835344827586184
1897-05-01,152.4,64.98217391304347
1897-06-01,42.0,-22.529310344827607
1897-07-01,48.0,11.008620689655174
1897-08-01,29.6,-22.623478260869568
1897-09-01,98.0,-11.557894736842144
1897-10-01,78.1,-89.87149122807023
1897-11-01,44.0,-126.18405172413782
1897-12-01,131.8,-19.346581196581155
1898-01-01,25.2,-100.06848739495803
1898-02-01,70.0,-41.439830508474614
1898-03-01,165.1,49.43898305084748
1898-04-01,217.8,124.96465517241383
1898-05-01,90.8,3.3821739130434594
1898-06-01,67.0,2.470689655172393
1898-07-01,89.3,52.30862068965517
1898-08-01,14.7,-37.52347826086957
1898-09-01,78.3,-31.257894736842147
1898-10-01,,
1898-11-01,472.5,302.3159482758622
1898-12-01,129.5,-21.646581196581167
1899-01-01,100.6,-24.668487394958035
1899-02-01,47.4,-64.03983050847461
1899-03-01,138.0,22.33898305084749
1899-04-01,112.3,19.464655172413813
1899-05-01,62.0,-25.417826086956538
1899-06-01,108.6,44.07068965517239
1899-07-01,46.4,9.408620689655173
1899-08-01,33.5,-18.72347826086957
1899-09-01,74.3,-35.25789473684215
