time_regular,rainfall_regular,rainfall_no_ss,rainfall_no_ss_1std
1875-01-01,27.8,-42.92229508196715,-113.95575647415576
1875-02-01,97.6,31.863821138211335,-33.1194500989575
1875-03-01,40.0,-46.03196721311478,-120.45999193057715
1875-04-01,75.7,-19.13983739837397,-83.66823631420195
1875-05-01,64.7,-19.760887096774255,-83.4265497037149
1875-06-01,122.2,70.76270491803278,14.579847882717907
1875-07-01,119.6,90.11951219512194,59.150109753890945
1875-08-01,101.8,50.68821138211382,1.7807705624128545
1875-09-01,4.2,-85.61818181818181,-168.6356782315512
1875-10-01,247.7,101.74462809917353,-11.946607707470136
1875-11-01,21.9,-101.66487603305788,-211.61416611841446
1875-12-01,89.4,4.244166666666615,-75.61718354505274
1876-01-01,108.1,37.37770491803285,-33.655756474155766
1876-02-01,13.5,-52.23617886178866,-117.2194500989575
1876-03-01,295.3,209.26803278688521,134.84000806942285
1876-04-01,187.6,92.76016260162602,28.231763685798043
1876-05-01,60.7,-23.760887096774255,-87.4265497037149
1876-06-01,103.9,52.462704918032784,-3.7201521172820904
1876-07-01,18.1,-11.380487804878047,-42.34989024610904
1876-08-01,173.6,122.48821138211382,73.58077056241285
1876-09-01,19.1,-70.71818181818182,-153.73567823155122
1876-10-01,192.2,46.244628099173525,-67.44660770747014
1876-11-01,80.2,-43.36487603305788,-153.31416611841445
1876-12-01,205.9,120.74416666666662,40.88281645494726
1877-01-01,80.5,9.777704918032853,-61.25575647415576
1877-02-01,6.9,-58.83617886178866,-123.8194500989575
1877-03-01,164.0,77.96803278688522,3.5400080694228535
1877-04-01,101.9,7.060162601626033,-57.468236314201945
1877-05-01,69.3,-15.16088709677426,-78.8265497037149
1877-06-01,8.2,-43.23729508196722,-99.4201521172821
1877-07-01,35.0,5.519512195121951,-25.449890246109046
1877-08-01,0.0,-51.11178861788618,-100.01922943758714
1877-09-01,14.6,-75.21818181818182,-158.23567823155122
1877-10-01,56.8,-89.15537190082647,-202.84660770747013
1877-11-01,138.4,14.83512396694212,-95.11416611841446
1877-12-01,47.2,-37.95583333333339,-117.81718354505274
1878-01-01,19.8,-50.92229508196715,-121.95575647415576
1878-02-01,2.8,-62.93617886178866,-127.9194500989575
1878-03-01,84.9,-1.1319672131147769,-75.55999193057714
1878-04-01,115.1,20.26016260162602,-44.26823631420196
1878-05-01,62.4,-22.06088709677426,-85.7265497037149
1878-06-01,41.4,-10.037295081967223,-66.2201521172821
1878-07-01,18.5,-10.980487804878049,-41.94989024610905
1878-08-01,201.6,150.48821138211383,101.58077056241287
1878-09-01,60.9,-28.918181818181814,-111.93567823155121
1878-10-01,238.8,92.84462809917355,-20.846607707470113
1878-11-01,224.5,100.93512396694211,-9.014166118414465
1878-12-01,28.9,-56.25583333333339,-136.11718354505274
1879-01-01,77.6,6.877704918032848,-64.15575647415577
1879-02-01,135.2,69.46382113821133,4.480549901042494
1879-03-01,192.3,106.26803278688523,31.840008069422865
1879-04-01,265.9,171.06016260162602,106.53176368579804
1879-05-01,284.8,200.33911290322575,136.67345029628513
1879-06-01,5.6,-45.83729508196722,-102.0201521172821
1879-07-01,35.9,6.41951219512195,-24.549890246109047
1879-08-01,14.8,-36.31178861788618,-85.21922943758715
1879-09-01,152.9,63.08181818181819,-19.935678231551194
1879-10-01,15.2,-130.75537190082647,-244.44660770747015
1879-11-01,66.7,-56.86487603305788,-166.81416611841445
1879-12-01,2.1,-83.0558333333334,-162.91718354505275
1880-01-01,28.5,-42.22229508196715,-113.25575647415576
1880-02-01,95.0,29.26382113821134,-35.719450098957495
1880-03-01,20.0,-66.03196721311478,-140.45999193057713
1880-04-01,161.7,66.86016260162602,2.3317636857980375
1880-05-01,75.0,-9.460887096774258,-73.12654970371489
1880-06-01,194.2,142.76270491803277,86.5798478827179
1880-07-01,7.1,-22.38048780487805,-53.34989024610905
